source	target
ARNT	SATB2
ARNT	ZNF593
ARNT	BOLA1
ARNT	ZNF639
ARNT	PLEK2
ARNT	KLF3
ARNT	POLE3
ARNT	BNC2
ARNT	ZNF358
ARNT	PBRM1
ARNT	ASH1L
ARNT	KCMF1
ARNT	SLC39A10
ARNT	TSHZ3
ARNT	NR2F2
ARNT	POLR2L
ARNT	ZNF71
ARNT	OVOL2
ARNT	ZNF667
ARNT	LHX5
ARNT	HOXB9
ARNT	NOC4L
ARNT	SOX7
ARNT	SSH2
ARNT	ZC3H18
ARNT	ZUFSP
ARNT	MIER3
ARNT	SALL3
ARNT	ZNF546
ARNT	ZNF827
ARNT	MAFA
ARNT	ZNF517
ARNT	RFX5
ARNT	ZIK1
ARNT	ESR2
ARNT	ZNF706
ARNT	DEPDC7
ARNT	GPR123
ARNT	TRIM32
ARNT	RC3H2
ARNT	ZNF84
ARNT	HES4
ARNT	PPP1R13L
ARNT	ZNF783
ARNT	CAMTA1
ARNT	KAT5
ARNT	ZNF74
ARNT	MAX
ARNT	ZFP41
ARNT	GTF3A
ARNT	HOXB5
ARNT	NFX1
ARNT	STAT5A
ARNT	TGIF1
ARNT	HMGA2
ARNT	FOXH1
ARNT	DVL2
ARNT	ESRRA
ARNT	HOXB7
ARNT	NFATC3
ARNT	GATA6
ARNT	HOXA1
ARNT	IRF9
ARNT	TCFL5
ARNT	ZNF318
ARNT	ZNF324
ARNT	ZC3H11A
ARNT	ADNP2
ARNT	PHF20
ARNT	POGK
ARNT	MIER2
ARNT	SSH3
ARNT	BATF3
ARNT	POLE4
ARNT	ZBTB2
ARNT	DEAF1
ARNT	HOXB4
ARNT	PBX4
ARNT	ZC3H8
ARNT	ZNF341
ARNT	TIGD5
ARNT	ZNF227
ARNT	TCEAL8
ARNT	THAP7
ARNT	MINK1
ARNT	ZBTB40
ARNT	ZNF669
ARNT	TRIM3
ARNT	HIF1A
ARNT	INSM1
ARNT	MYBL2
ARNT	CUL5
ARNT	PKNOX1
ARNT	ALX1
ARNT	KLF15
ARNT	AFF4
ARNT	YEATS2
ARNT	GSX2
ARNT	THAP6
ARNT	THAP8
ARNT	SNAI3
ATF1	EBF3
ATF1	ZNF473
ATF1	ZNF182
ATF1	ISX
ATF1	ZNF121
ATF1	FOXP1
ATF1	PRR3
ATF1	UNK
ATF1	FOSB
ATF1	PAX6
ATF1	ZNF438
ATF1	SKIL
ATF1	ZNF200
ATF1	GATA2
ATF1	ZNF414
ATF1	RIOK2
ATF1	MAFF
ATF1	RNF166
ATF1	ZNF548
ATF1	KLF11
ATF1	STAT6
ATF1	MITF
ATF1	APTX
ATF1	THAP3
ATF1	PGR
ATF1	ZNF410
ATF1	CDC5L
ATF1	COPS4
ATF1	ZNF266
ATF1	FOXJ1
ATF1	NR6A1
ATF1	ID1
ATF1	RFX1
ATF1	STAT3
ATF1	YY1
ATF1	DVL1
ATF1	DLX6
ATF1	GLI2
ATF1	HIST1H1A
ATF1	ZBTB48
ATF1	RELB
ATF1	NUPL2
ATF1	ETV2
ATF1	CSDC2
ATF1	MLXIP
ATF1	KLF13
ATF1	RNF138
ATF1	PRRX2
ATF1	ZNF446
ATF1	ZNF77
ATF1	HAND2
ATF1	ZFYVE20
ATF1	GZF1
ATF1	NOC4L
ATF1	ZNF426
ATF1	ZNF830
ATF1	DEPDC7
ATF1	ZSCAN20
